♠A,♥J,♣T,♣4,♥T | Pair
♠A,♥J,♣T,♥5,♥T | Pair
♠A,♥J,♣T,♥7,♥T | Pair
♠A,♥J,♣T,♠9,♥T | Pair
♠A,♥J,♣T,♥Q,♥T | Pair
♠A,♣T,♣4,♥5,♥T | Pair
♠A,♣T,♣4,♥7,♥T | Pair
♠A,♣T,♣4,♠9,♥T | Pair
♠A,♣T,♣4,♥Q,♥T | Pair
♠A,♣T,♥5,♥7,♥T | Pair
♠A,♣T,♥5,♠9,♥T | Pair
♠A,♣T,♥5,♥Q,♥T | Pair
♠A,♣T,♥7,♠9,♥T | Pair
♠A,♣T,♥7,♥Q,♥T | Pair
♠A,♣T,♠9,♥Q,♥T | Pair
♥J,♣T,♣4,♥5,♥T | Pair
♥J,♣T,♣4,♥7,♥T | Pair
♥J,♣T,♣4,♠9,♥T | Pair
♥J,♣T,♣4,♥Q,♥T | Pair
♥J,♣T,♥5,♥7,♥T | Pair
♥J,♣T,♥5,♠9,♥T | Pair
♥J,♣T,♥5,♥Q,♥T | Pair
♥J,♣T,♥7,♠9,♥T | Pair
♥J,♣T,♥7,♥Q,♥T | Pair
♥J,♣T,♠9,♥Q,♥T | Pair
♥J,♥5,♥7,♥Q,♥T | Flush
♣T,♣4,♥5,♥7,♥T | Pair
♣T,♣4,♥5,♠9,♥T | Pair
♣T,♣4,♥5,♥Q,♥T | Pair
♣T,♣4,♥7,♠9,♥T | Pair
♣T,♣4,♥7,♥Q,♥T | Pair
♣T,♣4,♠9,♥Q,♥T | Pair
♣T,♥5,♥7,♠9,♥T | Pair
♣T,♥5,♥7,♥Q,♥T | Pair
♣T,♥5,♠9,♥Q,♥T | Pair
♣T,♥7,♠9,♥Q,♥T | Pair
