♥6,♥A,♠T,♣J,♦A | Pair
♥6,♥A,♠T,♥8,♦8 | Pair
♥6,♥A,♠T,♥8,♦A | Pair
♥6,♥A,♠T,♥5,♣5 | Pair
♥6,♥A,♠T,♥5,♦A | Pair
♥6,♥A,♠T,♥5,♠5 | Pair
♥6,♥A,♠T,♣4,♦A | Pair
♥6,♥A,♠T,♣5,♦A | Pair
♥6,♥A,♠T,♣5,♠5 | Pair
♥6,♥A,♠T,♦8,♦A | Pair
♥6,♥A,♠T,♦A,♠5 | Pair
♥6,♥A,♣J,♥8,♦8 | Pair
♥6,♥A,♣J,♥8,♦A | Pair
♥6,♥A,♣J,♥5,♣5 | Pair
♥6,♥A,♣J,♥5,♦A | Pair
♥6,♥A,♣J,♥5,♠5 | Pair
♥6,♥A,♣J,♣4,♦A | Pair
♥6,♥A,♣J,♣5,♦A | Pair
♥6,♥A,♣J,♣5,♠5 | Pair
♥6,♥A,♣J,♦8,♦A | Pair
♥6,♥A,♣J,♦A,♠5 | Pair
♥6,♥A,♥8,♥5,♣5 | Pair
♥6,♥A,♥8,♥5,♦8 | Pair
♥6,♥A,♥8,♥5,♦A | Pair
♥6,♥A,♥8,♥5,♠5 | Pair
♥6,♥A,♥8,♣4,♦8 | Pair
♥6,♥A,♥8,♣4,♦A | Pair
♥6,♥A,♥8,♣5,♦8 | Pair
♥6,♥A,♥8,♣5,♦A | Pair
♥6,♥A,♥8,♣5,♠5 | Pair
♥6,♥A,♥8,♦8,♦A | Two Pairs
♥6,♥A,♥8,♦8,♠5 | Pair
♥6,♥A,♥8,♦A,♠5 | Pair
♥6,♥A,♥5,♣4,♣5 | Pair
♥6,♥A,♥5,♣4,♦A | Pair
♥6,♥A,♥5,♣4,♠5 | Pair
♥6,♥A,♥5,♣5,♦8 | Pair
♥6,♥A,♥5,♣5,♦A | Two Pairs
♥6,♥A,♥5,♣5,♠5 | Full House
♥6,♥A,♥5,♦8,♦A | Pair
♥6,♥A,♥5,♦8,♠5 | Pair
♥6,♥A,♥5,♦A,♠5 | Two Pairs
♥6,♥A,♣4,♣5,♦A | Pair
♥6,♥A,♣4,♣5,♠5 | Pair
♥6,♥A,♣4,♦8,♦A | Pair
♥6,♥A,♣4,♦A,♠5 | Pair
♥6,♥A,♣5,♦8,♦A | Pair
♥6,♥A,♣5,♦8,♠5 | Pair
♥6,♥A,♣5,♦A,♠5 | Two Pairs
♥6,♥A,♦8,♦A,♠5 | Pair
♥6,♠T,♣J,♥8,♦8 | Pair
♥6,♠T,♣J,♥5,♣5 | Pair
♥6,♠T,♣J,♥5,♠5 | Pair
♥6,♠T,♣J,♣5,♠5 | Pair
♥6,♠T,♥8,♥5,♣5 | Pair
♥6,♠T,♥8,♥5,♦8 | Pair
♥6,♠T,♥8,♥5,♠5 | Pair
♥6,♠T,♥8,♣4,♦8 | Pair
♥6,♠T,♥8,♣5,♦8 | Pair
♥6,♠T,♥8,♣5,♠5 | Pair
♥6,♠T,♥8,♦8,♦A | Pair
♥6,♠T,♥8,♦8,♠5 | Pair
♥6,♠T,♥5,♣4,♣5 | Pair
♥6,♠T,♥5,♣4,♠5 | Pair
♥6,♠T,♥5,♣5,♦8 | Pair
♥6,♠T,♥5,♣5,♦A | Pair
♥6,♠T,♥5,♣5,♠5 | Full House
♥6,♠T,♥5,♦8,♠5 | Pair
♥6,♠T,♥5,♦A,♠5 | Pair
♥6,♠T,♣4,♣5,♠5 | Pair
♥6,♠T,♣5,♦8,♠5 | Pair
♥6,♠T,♣5,♦A,♠5 | Pair
♥6,♣J,♥8,♥5,♣5 | Pair
♥6,♣J,♥8,♥5,♦8 | Pair
♥6,♣J,♥8,♥5,♠5 | Pair
♥6,♣J,♥8,♣4,♦8 | Pair
♥6,♣J,♥8,♣5,♦8 | Pair
♥6,♣J,♥8,♣5,♠5 | Pair
♥6,♣J,♥8,♦8,♦A | Pair
♥6,♣J,♥8,♦8,♠5 | Pair
♥6,♣J,♥5,♣4,♣5 | Pair
♥6,♣J,♥5,♣4,♠5 | Pair
♥6,♣J,♥5,♣5,♦8 | Pair
♥6,♣J,♥5,♣5,♦A | Pair
♥6,♣J,♥5,♣5,♠5 | Full House
♥6,♣J,♥5,♦8,♠5 | Pair
♥6,♣J,♥5,♦A,♠5 | Pair
♥6,♣J,♣4,♣5,♠5 | Pair
♥6,♣J,♣5,♦8,♠5 | Pair
♥6,♣J,♣5,♦A,♠5 | Pair
♥6,♥8,♥5,♣4,♣5 | Pair
♥6,♥8,♥5,♣4,♦8 | Pair
♥6,♥8,♥5,♣4,♠5 | Pair
♥6,♥8,♥5,♣5,♦8 | Two Pairs
♥6,♥8,♥5,♣5,♦A | Pair
♥6,♥8,♥5,♣5,♠5 | Full House
♥6,♥8,♥5,♦8,♦A | Pair
♥6,♥8,♥5,♦8,♠5 | Two Pairs
♥6,♥8,♥5,♦A,♠5 | Pair
♥6,♥8,♣4,♣5,♦8 | Pair
♥6,♥8,♣4,♣5,♠5 | Pair
♥6,♥8,♣4,♦8,♦A | Pair
♥6,♥8,♣4,♦8,♠5 | Pair
♥6,♥8,♣5,♦8,♦A | Pair
♥6,♥8,♣5,♦8,♠5 | Two Pairs
♥6,♥8,♣5,♦A,♠5 | Pair
♥6,♥8,♦8,♦A,♠5 | Pair
♥6,♥5,♣4,♣5,♦8 | Pair
♥6,♥5,♣4,♣5,♦A | Pair
♥6,♥5,♣4,♣5,♠5 | Full House
♥6,♥5,♣4,♦8,♠5 | Pair
♥6,♥5,♣4,♦A,♠5 | Pair
♥6,♥5,♣5,♦8,♦A | Pair
♥6,♥5,♣5,♦8,♠5 | Full House
♥6,♥5,♣5,♦A,♠5 | Full House
♥6,♥5,♦8,♦A,♠5 | Pair
♥6,♣4,♣5,♦8,♠5 | Pair
♥6,♣4,♣5,♦A,♠5 | Pair
♥6,♣5,♦8,♦A,♠5 | Pair
♥A,♠T,♣J,♥8,♦8 | Pair
♥A,♠T,♣J,♥8,♦A | Pair
♥A,♠T,♣J,♥5,♣5 | Pair
♥A,♠T,♣J,♥5,♦A | Pair
♥A,♠T,♣J,♥5,♠5 | Pair
♥A,♠T,♣J,♣4,♦A | Pair
♥A,♠T,♣J,♣5,♦A | Pair
♥A,♠T,♣J,♣5,♠5 | Pair
♥A,♠T,♣J,♦8,♦A | Pair
♥A,♠T,♣J,♦A,♠5 | Pair
♥A,♠T,♥8,♥5,♣5 | Pair
♥A,♠T,♥8,♥5,♦8 | Pair
♥A,♠T,♥8,♥5,♦A | Pair
♥A,♠T,♥8,♥5,♠5 | Pair
♥A,♠T,♥8,♣4,♦8 | Pair
♥A,♠T,♥8,♣4,♦A | Pair
♥A,♠T,♥8,♣5,♦8 | Pair
♥A,♠T,♥8,♣5,♦A | Pair
♥A,♠T,♥8,♣5,♠5 | Pair
♥A,♠T,♥8,♦8,♦A | Two Pairs
♥A,♠T,♥8,♦8,♠5 | Pair
♥A,♠T,♥8,♦A,♠5 | Pair
♥A,♠T,♥5,♣4,♣5 | Pair
♥A,♠T,♥5,♣4,♦A | Pair
♥A,♠T,♥5,♣4,♠5 | Pair
♥A,♠T,♥5,♣5,♦8 | Pair
♥A,♠T,♥5,♣5,♦A | Two Pairs
♥A,♠T,♥5,♣5,♠5 | Full House
♥A,♠T,♥5,♦8,♦A | Pair
♥A,♠T,♥5,♦8,♠5 | Pair
♥A,♠T,♥5,♦A,♠5 | Two Pairs
♥A,♠T,♣4,♣5,♦A | Pair
♥A,♠T,♣4,♣5,♠5 | Pair
♥A,♠T,♣4,♦8,♦A | Pair
♥A,♠T,♣4,♦A,♠5 | Pair
♥A,♠T,♣5,♦8,♦A | Pair
♥A,♠T,♣5,♦8,♠5 | Pair
♥A,♠T,♣5,♦A,♠5 | Two Pairs
♥A,♠T,♦8,♦A,♠5 | Pair
♥A,♣J,♥8,♥5,♣5 | Pair
♥A,♣J,♥8,♥5,♦8 | Pair
♥A,♣J,♥8,♥5,♦A | Pair
♥A,♣J,♥8,♥5,♠5 | Pair
♥A,♣J,♥8,♣4,♦8 | Pair
♥A,♣J,♥8,♣4,♦A | Pair
♥A,♣J,♥8,♣5,♦8 | Pair
♥A,♣J,♥8,♣5,♦A | Pair
♥A,♣J,♥8,♣5,♠5 | Pair
♥A,♣J,♥8,♦8,♦A | Two Pairs
♥A,♣J,♥8,♦8,♠5 | Pair
♥A,♣J,♥8,♦A,♠5 | Pair
♥A,♣J,♥5,♣4,♣5 | Pair
♥A,♣J,♥5,♣4,♦A | Pair
♥A,♣J,♥5,♣4,♠5 | Pair
♥A,♣J,♥5,♣5,♦8 | Pair
♥A,♣J,♥5,♣5,♦A | Two Pairs
♥A,♣J,♥5,♣5,♠5 | Full House
♥A,♣J,♥5,♦8,♦A | Pair
♥A,♣J,♥5,♦8,♠5 | Pair
♥A,♣J,♥5,♦A,♠5 | Two Pairs
♥A,♣J,♣4,♣5,♦A | Pair
♥A,♣J,♣4,♣5,♠5 | Pair
♥A,♣J,♣4,♦8,♦A | Pair
♥A,♣J,♣4,♦A,♠5 | Pair
♥A,♣J,♣5,♦8,♦A | Pair
♥A,♣J,♣5,♦8,♠5 | Pair
♥A,♣J,♣5,♦A,♠5 | Two Pairs
♥A,♣J,♦8,♦A,♠5 | Pair
♥A,♥8,♥5,♣4,♣5 | Pair
♥A,♥8,♥5,♣4,♦8 | Pair
♥A,♥8,♥5,♣4,♦A | Pair
♥A,♥8,♥5,♣4,♠5 | Pair
♥A,♥8,♥5,♣5,♦8 | Two Pairs
♥A,♥8,♥5,♣5,♦A | Two Pairs
♥A,♥8,♥5,♣5,♠5 | Full House
♥A,♥8,♥5,♦8,♦A | Two Pairs
♥A,♥8,♥5,♦8,♠5 | Two Pairs
♥A,♥8,♥5,♦A,♠5 | Two Pairs
♥A,♥8,♣4,♣5,♦8 | Pair
♥A,♥8,♣4,♣5,♦A | Pair
♥A,♥8,♣4,♣5,♠5 | Pair
♥A,♥8,♣4,♦8,♦A | Two Pairs
♥A,♥8,♣4,♦8,♠5 | Pair
♥A,♥8,♣4,♦A,♠5 | Pair
♥A,♥8,♣5,♦8,♦A | Two Pairs
♥A,♥8,♣5,♦8,♠5 | Two Pairs
♥A,♥8,♣5,♦A,♠5 | Two Pairs
♥A,♥8,♦8,♦A,♠5 | Two Pairs
♥A,♥5,♣4,♣5,♦8 | Pair
♥A,♥5,♣4,♣5,♦A | Two Pairs
♥A,♥5,♣4,♣5,♠5 | Full House
♥A,♥5,♣4,♦8,♦A | Pair
♥A,♥5,♣4,♦8,♠5 | Pair
♥A,♥5,♣4,♦A,♠5 | Two Pairs
♥A,♥5,♣5,♦8,♦A | Two Pairs
♥A,♥5,♣5,♦8,♠5 | Full House
♥A,♥5,♣5,♦A,♠5 | Full House
♥A,♥5,♦8,♦A,♠5 | Two Pairs
♥A,♣4,♣5,♦8,♦A | Pair
♥A,♣4,♣5,♦8,♠5 | Pair
♥A,♣4,♣5,♦A,♠5 | Two Pairs
♥A,♣4,♦8,♦A,♠5 | Pair
♥A,♣5,♦8,♦A,♠5 | Two Pairs
♠T,♣J,♥8,♥5,♣5 | Pair
♠T,♣J,♥8,♥5,♦8 | Pair
♠T,♣J,♥8,♥5,♠5 | Pair
♠T,♣J,♥8,♣4,♦8 | Pair
♠T,♣J,♥8,♣5,♦8 | Pair
♠T,♣J,♥8,♣5,♠5 | Pair
♠T,♣J,♥8,♦8,♦A | Pair
♠T,♣J,♥8,♦8,♠5 | Pair
♠T,♣J,♥5,♣4,♣5 | Pair
♠T,♣J,♥5,♣4,♠5 | Pair
♠T,♣J,♥5,♣5,♦8 | Pair
♠T,♣J,♥5,♣5,♦A | Pair
♠T,♣J,♥5,♣5,♠5 | Full House
♠T,♣J,♥5,♦8,♠5 | Pair
♠T,♣J,♥5,♦A,♠5 | Pair
♠T,♣J,♣4,♣5,♠5 | Pair
♠T,♣J,♣5,♦8,♠5 | Pair
♠T,♣J,♣5,♦A,♠5 | Pair
♠T,♥8,♥5,♣4,♣5 | Pair
♠T,♥8,♥5,♣4,♦8 | Pair
♠T,♥8,♥5,♣4,♠5 | Pair
♠T,♥8,♥5,♣5,♦8 | Two Pairs
♠T,♥8,♥5,♣5,♦A | Pair
