♥2,♥7,♣9,♥8,♠2 | Pair
♥2,♥7,♣9,♣J,♠2 | Pair
♥2,♥7,♣9,♥4,♠2 | Pair
♥2,♥7,♣9,♥4,♦4 | Pair
♥2,♥7,♣9,♥4,♠4 | Pair
♥2,♥7,♣9,♠2,♠5 | Pair
♥2,♥7,♣9,♠2,♥T | Pair
♥2,♥7,♣9,♠2,♣A | Pair
♥2,♥7,♣9,♠2,♠K | Pair
♥2,♥7,♣9,♠2,♦4 | Pair
♥2,♥7,♣9,♠2,♠4 | Pair
♥2,♥7,♣9,♦4,♠4 | Pair
♥2,♥7,♥8,♣J,♠2 | Pair
♥2,♥7,♥8,♥4,♠2 | Pair
♥2,♥7,♥8,♥4,♥T | Flush
♥2,♥7,♥8,♥4,♦4 | Pair
♥2,♥7,♥8,♥4,♠4 | Pair
♥2,♥7,♥8,♠2,♠5 | Pair
♥2,♥7,♥8,♠2,♥T | Pair
♥2,♥7,♥8,♠2,♣A | Pair
♥2,♥7,♥8,♠2,♠K | Pair
♥2,♥7,♥8,♠2,♦4 | Pair
♥2,♥7,♥8,♠2,♠4 | Pair
♥2,♥7,♥8,♦4,♠4 | Pair
♥2,♥7,♣J,♥4,♠2 | Pair
♥2,♥7,♣J,♥4,♦4 | Pair
♥2,♥7,♣J,♥4,♠4 | Pair
♥2,♥7,♣J,♠2,♠5 | Pair
♥2,♥7,♣J,♠2,♥T | Pair
♥2,♥7,♣J,♠2,♣A | Pair
♥2,♥7,♣J,♠2,♠K | Pair
♥2,♥7,♣J,♠2,♦4 | Pair
♥2,♥7,♣J,♠2,♠4 | Pair
♥2,♥7,♣J,♦4,♠4 | Pair
♥2,♥7,♥4,♠2,♠5 | Pair
♥2,♥7,♥4,♠2,♥T | Pair
♥2,♥7,♥4,♠2,♣A | Pair
♥2,♥7,♥4,♠2,♠K | Pair
♥2,♥7,♥4,♠2,♦4 | Two Pairs
♥2,♥7,♥4,♠2,♠4 | Two Pairs
♥2,♥7,♥4,♠5,♦4 | Pair
♥2,♥7,♥4,♠5,♠4 | Pair
♥2,♥7,♥4,♥T,♦4 | Pair
♥2,♥7,♥4,♥T,♠4 | Pair
♥2,♥7,♥4,♣A,♦4 | Pair
♥2,♥7,♥4,♣A,♠4 | Pair
♥2,♥7,♥4,♠K,♦4 | Pair
♥2,♥7,♥4,♠K,♠4 | Pair
♥2,♥7,♥4,♦4,♠4 | Full House
♥2,♥7,♠2,♠5,♥T | Pair
♥2,♥7,♠2,♠5,♣A | Pair
♥2,♥7,♠2,♠5,♠K | Pair
♥2,♥7,♠2,♠5,♦4 | Pair
♥2,♥7,♠2,♠5,♠4 | Pair
♥2,♥7,♠2,♥T,♣A | Pair
♥2,♥7,♠2,♥T,♠K | Pair
♥2,♥7,♠2,♥T,♦4 | Pair
♥2,♥7,♠2,♥T,♠4 | Pair
♥2,♥7,♠2,♣A,♠K | Pair
♥2,♥7,♠2,♣A,♦4 | Pair
♥2,♥7,♠2,♣A,♠4 | Pair
♥2,♥7,♠2,♠K,♦4 | Pair
♥2,♥7,♠2,♠K,♠4 | Pair
♥2,♥7,♠2,♦4,♠4 | Two Pairs
♥2,♥7,♠5,♦4,♠4 | Pair
♥2,♥7,♥T,♦4,♠4 | Pair
♥2,♥7,♣A,♦4,♠4 | Pair
♥2,♥7,♠K,♦4,♠4 | Pair
♥2,♣9,♥8,♣J,♠2 | Pair
♥2,♣9,♥8,♥4,♠2 | Pair
♥2,♣9,♥8,♥4,♦4 | Pair
♥2,♣9,♥8,♥4,♠4 | Pair
♥2,♣9,♥8,♠2,♠5 | Pair
♥2,♣9,♥8,♠2,♥T | Pair
♥2,♣9,♥8,♠2,♣A | Pair
♥2,♣9,♥8,♠2,♠K | Pair
♥2,♣9,♥8,♠2,♦4 | Pair
♥2,♣9,♥8,♠2,♠4 | Pair
♥2,♣9,♥8,♦4,♠4 | Pair
♥2,♣9,♣J,♥4,♠2 | Pair
♥2,♣9,♣J,♥4,♦4 | Pair
♥2,♣9,♣J,♥4,♠4 | Pair
♥2,♣9,♣J,♠2,♠5 | Pair
♥2,♣9,♣J,♠2,♥T | Pair
♥2,♣9,♣J,♠2,♣A | Pair
♥2,♣9,♣J,♠2,♠K | Pair
♥2,♣9,♣J,♠2,♦4 | Pair
♥2,♣9,♣J,♠2,♠4 | Pair
♥2,♣9,♣J,♦4,♠4 | Pair
♥2,♣9,♥4,♠2,♠5 | Pair
♥2,♣9,♥4,♠2,♥T | Pair
♥2,♣9,♥4,♠2,♣A | Pair
♥2,♣9,♥4,♠2,♠K | Pair
♥2,♣9,♥4,♠2,♦4 | Two Pairs
♥2,♣9,♥4,♠2,♠4 | Two Pairs
♥2,♣9,♥4,♠5,♦4 | Pair
♥2,♣9,♥4,♠5,♠4 | Pair
♥2,♣9,♥4,♥T,♦4 | Pair
♥2,♣9,♥4,♥T,♠4 | Pair
♥2,♣9,♥4,♣A,♦4 | Pair
♥2,♣9,♥4,♣A,♠4 | Pair
♥2,♣9,♥4,♠K,♦4 | Pair
♥2,♣9,♥4,♠K,♠4 | Pair
♥2,♣9,♥4,♦4,♠4 | Full House
♥2,♣9,♠2,♠5,♥T | Pair
♥2,♣9,♠2,♠5,♣A | Pair
♥2,♣9,♠2,♠5,♠K | Pair
♥2,♣9,♠2,♠5,♦4 | Pair
♥2,♣9,♠2,♠5,♠4 | Pair
♥2,♣9,♠2,♥T,♣A | Pair
♥2,♣9,♠2,♥T,♠K | Pair
♥2,♣9,♠2,♥T,♦4 | Pair
♥2,♣9,♠2,♥T,♠4 | Pair
♥2,♣9,♠2,♣A,♠K | Pair
♥2,♣9,♠2,♣A,♦4 | Pair
♥2,♣9,♠2,♣A,♠4 | Pair
♥2,♣9,♠2,♠K,♦4 | Pair
♥2,♣9,♠2,♠K,♠4 | Pair
♥2,♣9,♠2,♦4,♠4 | Two Pairs
♥2,♣9,♠5,♦4,♠4 | Pair
♥2,♣9,♥T,♦4,♠4 | Pair
♥2,♣9,♣A,♦4,♠4 | Pair
♥2,♣9,♠K,♦4,♠4 | Pair
♥2,♥8,♣J,♥4,♠2 | Pair
♥2,♥8,♣J,♥4,♦4 | Pair
♥2,♥8,♣J,♥4,♠4 | Pair
♥2,♥8,♣J,♠2,♠5 | Pair
♥2,♥8,♣J,♠2,♥T | Pair
♥2,♥8,♣J,♠2,♣A | Pair
♥2,♥8,♣J,♠2,♠K | Pair
♥2,♥8,♣J,♠2,♦4 | Pair
♥2,♥8,♣J,♠2,♠4 | Pair
♥2,♥8,♣J,♦4,♠4 | Pair
♥2,♥8,♥4,♠2,♠5 | Pair
♥2,♥8,♥4,♠2,♥T | Pair
♥2,♥8,♥4,♠2,♣A | Pair
♥2,♥8,♥4,♠2,♠K | Pair
♥2,♥8,♥4,♠2,♦4 | Two Pairs
♥2,♥8,♥4,♠2,♠4 | Two Pairs
♥2,♥8,♥4,♠5,♦4 | Pair
♥2,♥8,♥4,♠5,♠4 | Pair
♥2,♥8,♥4,♥T,♦4 | Pair
♥2,♥8,♥4,♥T,♠4 | Pair
♥2,♥8,♥4,♣A,♦4 | Pair
♥2,♥8,♥4,♣A,♠4 | Pair
♥2,♥8,♥4,♠K,♦4 | Pair
