♠K,♣7,♠9,♦8,♣8 | Pair
♠K,♣7,♠9,♦8,♥8 | Pair
♠K,♣7,♠9,♠J,♦J | Pair
♠K,♣7,♠9,♣8,♥8 | Pair
♠K,♣7,♦3,♦8,♣8 | Pair
♠K,♣7,♦3,♦8,♥8 | Pair
♠K,♣7,♦3,♠J,♦J | Pair
♠K,♣7,♦3,♣8,♥8 | Pair
♠K,♣7,♠T,♦8,♣8 | Pair
♠K,♣7,♠T,♦8,♥8 | Pair
♠K,♣7,♠T,♠J,♦J | Pair
♠K,♣7,♠T,♣8,♥8 | Pair
♠K,♣7,♣4,♦8,♣8 | Pair
♠K,♣7,♣4,♦8,♥8 | Pair
♠K,♣7,♣4,♠J,♦J | Pair
♠K,♣7,♣4,♣8,♥8 | Pair
♠K,♣7,♦8,♣5,♣8 | Pair
♠K,♣7,♦8,♣5,♥8 | Pair
♠K,♣7,♦8,♠J,♣8 | Pair
♠K,♣7,♦8,♠J,♥8 | Pair
♠K,♣7,♦8,♠J,♦J | Pair
♠K,♣7,♦8,♣8,♥8 | Full House
♠K,♣7,♦8,♣8,♣Q | Pair
♠K,♣7,♦8,♣8,♦J | Pair
♠K,♣7,♦8,♥8,♣Q | Pair
♠K,♣7,♦8,♥8,♦J | Pair
♠K,♣7,♣5,♠J,♦J | Pair
♠K,♣7,♣5,♣8,♥8 | Pair
♠K,♣7,♠J,♣8,♥8 | Pair
♠K,♣7,♠J,♣8,♦J | Pair
♠K,♣7,♠J,♥8,♦J | Pair
♠K,♣7,♠J,♣Q,♦J | Pair
♠K,♣7,♣8,♥8,♣Q | Pair
♠K,♣7,♣8,♥8,♦J | Pair
♠K,♠9,♦3,♦8,♣8 | Pair
♠K,♠9,♦3,♦8,♥8 | Pair
♠K,♠9,♦3,♠J,♦J | Pair
♠K,♠9,♦3,♣8,♥8 | Pair
♠K,♠9,♠T,♦8,♣8 | Pair
♠K,♠9,♠T,♦8,♥8 | Pair
♠K,♠9,♠T,♠J,♦J | Pair
♠K,♠9,♠T,♣8,♥8 | Pair
♠K,♠9,♣4,♦8,♣8 | Pair
♠K,♠9,♣4,♦8,♥8 | Pair
♠K,♠9,♣4,♠J,♦J | Pair
♠K,♠9,♣4,♣8,♥8 | Pair
♠K,♠9,♦8,♣5,♣8 | Pair
♠K,♠9,♦8,♣5,♥8 | Pair
♠K,♠9,♦8,♠J,♣8 | Pair
♠K,♠9,♦8,♠J,♥8 | Pair
♠K,♠9,♦8,♠J,♦J | Pair
♠K,♠9,♦8,♣8,♥8 | Full House
♠K,♠9,♦8,♣8,♣Q | Pair
♠K,♠9,♦8,♣8,♦J | Pair
♠K,♠9,♦8,♥8,♣Q | Pair
♠K,♠9,♦8,♥8,♦J | Pair
♠K,♠9,♣5,♠J,♦J | Pair
