♥7,♦Q,♥5,♠A,♣A | Pair
♥7,♦Q,♥5,♠A,♦5 | Pair
♥7,♦Q,♥5,♠A,♣5 | Pair
♥7,♦Q,♥5,♣K,♠K | Pair
♥7,♦Q,♥5,♣K,♦5 | Pair
♥7,♦Q,♥5,♣K,♣5 | Pair
♥7,♦Q,♥5,♣A,♦5 | Pair
♥7,♦Q,♥5,♣A,♣5 | Pair
♥7,♦Q,♥5,♠K,♦5 | Pair
♥7,♦Q,♥5,♠K,♣5 | Pair
♥7,♦Q,♥5,♦5,♣T | Pair
♥7,♦Q,♥5,♦5,♠J | Pair
♥7,♦Q,♥5,♦5,♣3 | Pair
♥7,♦Q,♥5,♦5,♣5 | Full House
♥7,♦Q,♥5,♦5,♠8 | Pair
♥7,♦Q,♥5,♣T,♣5 | Pair
♥7,♦Q,♥5,♠J,♣5 | Pair
♥7,♦Q,♥5,♣3,♣5 | Pair
♥7,♦Q,♥5,♣5,♠8 | Pair
♥7,♦Q,♠A,♣K,♣A | Pair
♥7,♦Q,♠A,♣K,♠K | Pair
♥7,♦Q,♠A,♣A,♠K | Pair
♥7,♦Q,♠A,♣A,♦5 | Pair
♥7,♦Q,♠A,♣A,♣T | Pair
♥7,♦Q,♠A,♣A,♠J | Pair
♥7,♦Q,♠A,♣A,♣3 | Pair
♥7,♦Q,♠A,♣A,♣5 | Pair
♥7,♦Q,♠A,♣A,♠8 | Pair
♥7,♦Q,♠A,♦5,♣5 | Pair
♥7,♦Q,♣K,♣A,♠K | Pair
♥7,♦Q,♣K,♠K,♦5 | Pair
♥7,♦Q,♣K,♠K,♣T | Pair
♥7,♦Q,♣K,♠K,♠J | Pair
♥7,♦Q,♣K,♠K,♣3 | Pair
♥7,♦Q,♣K,♠K,♣5 | Pair
♥7,♦Q,♣K,♠K,♠8 | Pair
♥7,♦Q,♣K,♦5,♣5 | Pair
♥7,♦Q,♣A,♦5,♣5 | Pair
♥7,♦Q,♠K,♦5,♣5 | Pair
♥7,♦Q,♦5,♣T,♣5 | Pair
♥7,♦Q,♦5,♠J,♣5 | Pair
♥7,♦Q,♦5,♣3,♣5 | Pair
♥7,♦Q,♦5,♣5,♠8 | Pair
♥7,♥5,♠A,♣K,♣A | Pair
♥7,♥5,♠A,♣K,♠K | Pair
♥7,♥5,♠A,♣K,♦5 | Pair
♥7,♥5,♠A,♣K,♣5 | Pair
♥7,♥5,♠A,♣A,♠K | Pair
♥7,♥5,♠A,♣A,♦5 | Two Pairs
♥7,♥5,♠A,♣A,♣T | Pair
♥7,♥5,♠A,♣A,♠J | Pair
♥7,♥5,♠A,♣A,♣3 | Pair
♥7,♥5,♠A,♣A,♣5 | Two Pairs
♥7,♥5,♠A,♣A,♠8 | Pair
♥7,♥5,♠A,♠K,♦5 | Pair
♥7,♥5,♠A,♠K,♣5 | Pair
♥7,♥5,♠A,♦5,♣T | Pair
♥7,♥5,♠A,♦5,♠J | Pair
♥7,♥5,♠A,♦5,♣3 | Pair
♥7,♥5,♠A,♦5,♣5 | Full House
♥7,♥5,♠A,♦5,♠8 | Pair
♥7,♥5,♠A,♣T,♣5 | Pair
♥7,♥5,♠A,♠J,♣5 | Pair
♥7,♥5,♠A,♣3,♣5 | Pair
♥7,♥5,♠A,♣5,♠8 | Pair
♥7,♥5,♣K,♣A,♠K | Pair
♥7,♥5,♣K,♣A,♦5 | Pair
♥7,♥5,♣K,♣A,♣5 | Pair
♥7,♥5,♣K,♠K,♦5 | Two Pairs
♥7,♥5,♣K,♠K,♣T | Pair
♥7,♥5,♣K,♠K,♠J | Pair
♥7,♥5,♣K,♠K,♣3 | Pair
♥7,♥5,♣K,♠K,♣5 | Two Pairs
♥7,♥5,♣K,♠K,♠8 | Pair
♥7,♥5,♣K,♦5,♣T | Pair
♥7,♥5,♣K,♦5,♠J | Pair
♥7,♥5,♣K,♦5,♣3 | Pair
♥7,♥5,♣K,♦5,♣5 | Full House
♥7,♥5,♣K,♦5,♠8 | Pair
♥7,♥5,♣K,♣T,♣5 | Pair
♥7,♥5,♣K,♠J,♣5 | Pair
♥7,♥5,♣K,♣3,♣5 | Pair
♥7,♥5,♣K,♣5,♠8 | Pair
♥7,♥5,♣A,♠K,♦5 | Pair
♥7,♥5,♣A,♠K,♣5 | Pair
♥7,♥5,♣A,♦5,♣T | Pair
♥7,♥5,♣A,♦5,♠J | Pair
♥7,♥5,♣A,♦5,♣3 | Pair
♥7,♥5,♣A,♦5,♣5 | Full House
♥7,♥5,♣A,♦5,♠8 | Pair
♥7,♥5,♣A,♣T,♣5 | Pair
♥7,♥5,♣A,♠J,♣5 | Pair
♥7,♥5,♣A,♣3,♣5 | Pair
♥7,♥5,♣A,♣5,♠8 | Pair
♥7,♥5,♠K,♦5,♣T | Pair
♥7,♥5,♠K,♦5,♠J | Pair
♥7,♥5,♠K,♦5,♣3 | Pair
