♠2,♦9,♦4,♠T,♣T | Pair
♠2,♦9,♦4,♠T,♣4 | Pair
♠2,♦9,♦4,♠T,♥4 | Pair
♠2,♦9,♦4,♠8,♣4 | Pair
♠2,♦9,♦4,♠8,♣8 | Pair
♠2,♦9,♦4,♠8,♥4 | Pair
♠2,♦9,♦4,♠6,♣4 | Pair
♠2,♦9,♦4,♠6,♥4 | Pair
♠2,♦9,♦4,♣T,♣4 | Pair
♠2,♦9,♦4,♣T,♥4 | Pair
♠2,♦9,♦4,♥A,♣4 | Pair
♠2,♦9,♦4,♥A,♥4 | Pair
♠2,♦9,♦4,♣4,♣Q | Pair
♠2,♦9,♦4,♣4,♣8 | Pair
♠2,♦9,♦4,♣4,♥4 | Full House
♠2,♦9,♦4,♣Q,♥4 | Pair
♠2,♦9,♦4,♣8,♥4 | Pair
♠2,♦9,♠T,♠8,♣T | Pair
♠2,♦9,♠T,♠8,♣8 | Pair
♠2,♦9,♠T,♠6,♣T | Pair
♠2,♦9,♠T,♣T,♥A | Pair
♠2,♦9,♠T,♣T,♣4 | Pair
♠2,♦9,♠T,♣T,♣Q | Pair
♠2,♦9,♠T,♣T,♣8 | Pair
♠2,♦9,♠T,♣T,♥4 | Pair
♠2,♦9,♠T,♣4,♥4 | Pair
♠2,♦9,♠8,♠6,♣8 | Pair
♠2,♦9,♠8,♣T,♣8 | Pair
♠2,♦9,♠8,♥A,♣8 | Pair
♠2,♦9,♠8,♣4,♣8 | Pair
♠2,♦9,♠8,♣4,♥4 | Pair
♠2,♦9,♠8,♣Q,♣8 | Pair
♠2,♦9,♠8,♣8,♥4 | Pair
♠2,♦9,♠6,♣4,♥4 | Pair
♠2,♦9,♣T,♣4,♥4 | Pair
♠2,♦9,♥A,♣4,♥4 | Pair
♠2,♦9,♣4,♣Q,♥4 | Pair
♠2,♦9,♣4,♣8,♥4 | Pair
♠2,♦4,♠T,♠8,♣T | Pair
♠2,♦4,♠T,♠8,♣4 | Pair
♠2,♦4,♠T,♠8,♣8 | Pair
♠2,♦4,♠T,♠8,♥4 | Pair
♠2,♦4,♠T,♠6,♣T | Pair
♠2,♦4,♠T,♠6,♣4 | Pair
♠2,♦4,♠T,♠6,♥4 | Pair
♠2,♦4,♠T,♣T,♥A | Pair
♠2,♦4,♠T,♣T,♣4 | Two Pairs
♠2,♦4,♠T,♣T,♣Q | Pair
♠2,♦4,♠T,♣T,♣8 | Pair
♠2,♦4,♠T,♣T,♥4 | Two Pairs
♠2,♦4,♠T,♥A,♣4 | Pair
♠2,♦4,♠T,♥A,♥4 | Pair
♠2,♦4,♠T,♣4,♣Q | Pair
♠2,♦4,♠T,♣4,♣8 | Pair
♠2,♦4,♠T,♣4,♥4 | Full House
♠2,♦4,♠T,♣Q,♥4 | Pair
♠2,♦4,♠T,♣8,♥4 | Pair
♠2,♦4,♠8,♠6,♣4 | Pair
♠2,♦4,♠8,♠6,♣8 | Pair
♠2,♦4,♠8,♠6,♥4 | Pair
♠2,♦4,♠8,♣T,♣4 | Pair
♠2,♦4,♠8,♣T,♣8 | Pair
♠2,♦4,♠8,♣T,♥4 | Pair
♠2,♦4,♠8,♥A,♣4 | Pair
♠2,♦4,♠8,♥A,♣8 | Pair
♠2,♦4,♠8,♥A,♥4 | Pair
♠2,♦4,♠8,♣4,♣Q | Pair
♠2,♦4,♠8,♣4,♣8 | Two Pairs
♠2,♦4,♠8,♣4,♥4 | Full House
♠2,♦4,♠8,♣Q,♣8 | Pair
♠2,♦4,♠8,♣Q,♥4 | Pair
♠2,♦4,♠8,♣8,♥4 | Two Pairs
♠2,♦4,♠6,♣T,♣4 | Pair
♠2,♦4,♠6,♣T,♥4 | Pair
♠2,♦4,♠6,♥A,♣4 | Pair
♠2,♦4,♠6,♥A,♥4 | Pair
♠2,♦4,♠6,♣4,♣Q | Pair
♠2,♦4,♠6,♣4,♣8 | Pair
♠2,♦4,♠6,♣4,♥4 | Full House
♠2,♦4,♠6,♣Q,♥4 | Pair
♠2,♦4,♠6,♣8,♥4 | Pair
♠2,♦4,♣T,♥A,♣4 | Pair
♠2,♦4,♣T,♥A,♥4 | Pair
♠2,♦4,♣T,♣4,♣Q | Pair
♠2,♦4,♣T,♣4,♣8 | Pair
♠2,♦4,♣T,♣4,♥4 | Full House
♠2,♦4,♣T,♣Q,♥4 | Pair
♠2,♦4,♣T,♣8,♥4 | Pair
♠2,♦4,♥A,♣4,♣Q | Pair
♠2,♦4,♥A,♣4,♣8 | Pair
♠2,♦4,♥A,♣4,♥4 | Full House
♠2,♦4,♥A,♣Q,♥4 | Pair
♠2,♦4,♥A,♣8,♥4 | Pair
♠2,♦4,♣4,♣Q,♣8 | Pair
♠2,♦4,♣4,♣Q,♥4 | Full House
♠2,♦4,♣4,♣8,♥4 | Full House
♠2,♦4,♣Q,♣8,♥4 | Pair
♠2,♠T,♠8,♠6,♣T | Pair
♠2,♠T,♠8,♠6,♣8 | Pair
♠2,♠T,♠8,♣T,♥A | Pair
♠2,♠T,♠8,♣T,♣4 | Pair
♠2,♠T,♠8,♣T,♣Q | Pair
♠2,♠T,♠8,♣T,♣8 | Two Pairs
♠2,♠T,♠8,♣T,♥4 | Pair
♠2,♠T,♠8,♥A,♣8 | Pair
♠2,♠T,♠8,♣4,♣8 | Pair
♠2,♠T,♠8,♣4,♥4 | Pair
