♠8,♠2,♥T,♦9,♦8 | Pair
♠8,♠2,♥T,♠7,♦8 | Pair
♠8,♠2,♥T,♥J,♦8 | Pair
♠8,♠2,♥T,♦K,♦8 | Pair
♠8,♠2,♥T,♣4,♦8 | Pair
♠8,♠2,♥T,♣4,♥4 | Pair
♠8,♠2,♥T,♦8,♥A | Pair
♠8,♠2,♥T,♦8,♥4 | Pair
♠8,♠2,♦9,♠7,♦8 | Pair
♠8,♠2,♦9,♥J,♦8 | Pair
♠8,♠2,♦9,♦K,♦8 | Pair
♠8,♠2,♦9,♣4,♦8 | Pair
♠8,♠2,♦9,♣4,♥4 | Pair
♠8,♠2,♦9,♦8,♥A | Pair
♠8,♠2,♦9,♦8,♥4 | Pair
♠8,♠2,♠7,♥J,♦8 | Pair
♠8,♠2,♠7,♦K,♦8 | Pair
♠8,♠2,♠7,♣4,♦8 | Pair
♠8,♠2,♠7,♣4,♥4 | Pair
♠8,♠2,♠7,♦8,♥A | Pair
♠8,♠2,♠7,♦8,♥4 | Pair
♠8,♠2,♥J,♦K,♦8 | Pair
♠8,♠2,♥J,♣4,♦8 | Pair
♠8,♠2,♥J,♣4,♥4 | Pair
♠8,♠2,♥J,♦8,♥A | Pair
♠8,♠2,♥J,♦8,♥4 | Pair
♠8,♠2,♦K,♣4,♦8 | Pair
♠8,♠2,♦K,♣4,♥4 | Pair
♠8,♠2,♦K,♦8,♥A | Pair
♠8,♠2,♦K,♦8,♥4 | Pair
♠8,♠2,♣4,♦8,♥A | Pair
♠8,♠2,♣4,♦8,♥4 | Two Pairs
♠8,♠2,♣4,♥A,♥4 | Pair
♠8,♠2,♦8,♥A,♥4 | Pair
♠8,♥T,♦9,♠7,♦8 | Pair
♠8,♥T,♦9,♥J,♦8 | Pair
♠8,♥T,♦9,♦K,♦8 | Pair
♠8,♥T,♦9,♣4,♦8 | Pair
♠8,♥T,♦9,♣4,♥4 | Pair
♠8,♥T,♦9,♦8,♥A | Pair
♠8,♥T,♦9,♦8,♥4 | Pair
♠8,♥T,♠7,♥J,♦8 | Pair
♠8,♥T,♠7,♦K,♦8 | Pair
♠8,♥T,♠7,♣4,♦8 | Pair
♠8,♥T,♠7,♣4,♥4 | Pair
♠8,♥T,♠7,♦8,♥A | Pair
♠8,♥T,♠7,♦8,♥4 | Pair
♠8,♥T,♥J,♦K,♦8 | Pair
♠8,♥T,♥J,♣4,♦8 | Pair
♠8,♥T,♥J,♣4,♥4 | Pair
♠8,♥T,♥J,♦8,♥A | Pair
♠8,♥T,♥J,♦8,♥4 | Pair
♠8,♥T,♦K,♣4,♦8 | Pair
♠8,♥T,♦K,♣4,♥4 | Pair
♠8,♥T,♦K,♦8,♥A | Pair
♠8,♥T,♦K,♦8,♥4 | Pair
♠8,♥T,♣4,♦8,♥A | Pair
♠8,♥T,♣4,♦8,♥4 | Two Pairs
♠8,♥T,♣4,♥A,♥4 | Pair
♠8,♥T,♦8,♥A,♥4 | Pair
♠8,♦9,♠7,♥J,♦8 | Pair
♠8,♦9,♠7,♦K,♦8 | Pair
♠8,♦9,♠7,♣4,♦8 | Pair
♠8,♦9,♠7,♣4,♥4 | Pair
♠8,♦9,♠7,♦8,♥A | Pair
♠8,♦9,♠7,♦8,♥4 | Pair
♠8,♦9,♥J,♦K,♦8 | Pair
♠8,♦9,♥J,♣4,♦8 | Pair
♠8,♦9,♥J,♣4,♥4 | Pair
♠8,♦9,♥J,♦8,♥A | Pair
♠8,♦9,♥J,♦8,♥4 | Pair
♠8,♦9,♦K,♣4,♦8 | Pair
♠8,♦9,♦K,♣4,♥4 | Pair
♠8,♦9,♦K,♦8,♥A | Pair
♠8,♦9,♦K,♦8,♥4 | Pair
♠8,♦9,♣4,♦8,♥A | Pair
♠8,♦9,♣4,♦8,♥4 | Two Pairs
♠8,♦9,♣4,♥A,♥4 | Pair
♠8,♦9,♦8,♥A,♥4 | Pair
♠8,♠7,♥J,♦K,♦8 | Pair
♠8,♠7,♥J,♣4,♦8 | Pair
♠8,♠7,♥J,♣4,♥4 | Pair
♠8,♠7,♥J,♦8,♥A | Pair
♠8,♠7,♥J,♦8,♥4 | Pair
♠8,♠7,♦K,♣4,♦8 | Pair
♠8,♠7,♦K,♣4,♥4 | Pair
♠8,♠7,♦K,♦8,♥A | Pair
♠8,♠7,♦K,♦8,♥4 | Pair
♠8,♠7,♣4,♦8,♥A | Pair
♠8,♠7,♣4,♦8,♥4 | Two Pairs
♠8,♠7,♣4,♥A,♥4 | Pair
♠8,♠7,♦8,♥A,♥4 | Pair
♠8,♥J,♦K,♣4,♦8 | Pair
♠8,♥J,♦K,♣4,♥4 | Pair
♠8,♥J,♦K,♦8,♥A | Pair
♠8,♥J,♦K,♦8,♥4 | Pair
♠8,♥J,♣4,♦8,♥A | Pair
♠8,♥J,♣4,♦8,♥4 | Two Pairs
♠8,♥J,♣4,♥A,♥4 | Pair
♠8,♥J,♦8,♥A,♥4 | Pair
♠8,♦K,♣4,♦8,♥A | Pair
♠8,♦K,♣4,♦8,♥4 | Two Pairs
♠8,♦K,♣4,♥A,♥4 | Pair
♠8,♦K,♦8,♥A,♥4 | Pair
♠8,♣4,♦8,♥A,♥4 | Two Pairs
♠2,♥T,♦9,♣4,♥4 | Pair
♠2,♥T,♠7,♣4,♥4 | Pair
♠2,♥T,♥J,♣4,♥4 | Pair
♠2,♥T,♦K,♣4,♥4 | Pair
♠2,♥T,♣4,♦8,♥4 | Pair
♠2,♥T,♣4,♥A,♥4 | Pair
♠2,♦9,♠7,♣4,♥4 | Pair
♠2,♦9,♥J,♣4,♥4 | Pair
♠2,♦9,♦K,♣4,♥4 | Pair
♠2,♦9,♣4,♦8,♥4 | Pair
♠2,♦9,♣4,♥A,♥4 | Pair
♠2,♠7,♥J,♣4,♥4 | Pair
♠2,♠7,♦K,♣4,♥4 | Pair
♠2,♠7,♣4,♦8,♥4 | Pair
♠2,♠7,♣4,♥A,♥4 | Pair
♠2,♥J,♦K,♣4,♥4 | Pair
♠2,♥J,♣4,♦8,♥4 | Pair
♠2,♥J,♣4,♥A,♥4 | Pair
♠2,♦K,♣4,♦8,♥4 | Pair
♠2,♦K,♣4,♥A,♥4 | Pair
♠2,♣4,♦8,♥A,♥4 | Pair
♥T,♦9,♠7,♣4,♥4 | Pair
♥T,♦9,♥J,♣4,♥4 | Pair
♥T,♦9,♦K,♣4,♥4 | Pair
♥T,♦9,♣4,♦8,♥4 | Pair
♥T,♦9,♣4,♥A,♥4 | Pair
♥T,♠7,♥J,♣4,♥4 | Pair
♥T,♠7,♦K,♣4,♥4 | Pair
♥T,♠7,♣4,♦8,♥4 | Pair
♥T,♠7,♣4,♥A,♥4 | Pair
♥T,♥J,♦K,♣4,♥4 | Pair
♥T,♥J,♣4,♦8,♥4 | Pair
♥T,♥J,♣4,♥A,♥4 | Pair
♥T,♦K,♣4,♦8,♥4 | Pair
♥T,♦K,♣4,♥A,♥4 | Pair
♥T,♣4,♦8,♥A,♥4 | Pair
♦9,♠7,♥J,♣4,♥4 | Pair
♦9,♠7,♦K,♣4,♥4 | Pair
