♠A,♥J,♦5,♦7,♦A | Pair
♠A,♥J,♦5,♦7,♥7 | Pair
♠A,♥J,♦5,♦A,♥K | Pair
♠A,♥J,♦5,♦A,♦9 | Pair
♠A,♥J,♦5,♦A,♦T | Pair
♠A,♥J,♦5,♦A,♥7 | Pair
♠A,♥J,♦5,♦A,♣T | Pair
♠A,♥J,♦5,♦T,♣T | Pair
♠A,♥J,♦7,♦A,♥K | Pair
♠A,♥J,♦7,♦A,♦9 | Pair
♠A,♥J,♦7,♦A,♦T | Pair
♠A,♥J,♦7,♦A,♥7 | Two Pairs
♠A,♥J,♦7,♦A,♣T | Pair
♠A,♥J,♦7,♥K,♥7 | Pair
♠A,♥J,♦7,♦9,♥7 | Pair
♠A,♥J,♦7,♦T,♥7 | Pair
♠A,♥J,♦7,♦T,♣T | Pair
♠A,♥J,♦7,♥7,♣T | Pair
♠A,♥J,♦A,♥K,♦9 | Pair
♠A,♥J,♦A,♥K,♦T | Pair
♠A,♥J,♦A,♥K,♥7 | Pair
♠A,♥J,♦A,♥K,♣T | Pair
♠A,♥J,♦A,♦9,♦T | Pair
♠A,♥J,♦A,♦9,♥7 | Pair
♠A,♥J,♦A,♦9,♣T | Pair
♠A,♥J,♦A,♦T,♥7 | Pair
♠A,♥J,♦A,♦T,♣T | Two Pairs
♠A,♥J,♦A,♥7,♣T | Pair
♠A,♥J,♥K,♦T,♣T | Pair
♠A,♥J,♦9,♦T,♣T | Pair
♠A,♥J,♦T,♥7,♣T | Pair
♠A,♦5,♦7,♦A,♥K | Pair
♠A,♦5,♦7,♦A,♦9 | Pair
♠A,♦5,♦7,♦A,♦T | Pair
♠A,♦5,♦7,♦A,♥7 | Two Pairs
♠A,♦5,♦7,♦A,♣T | Pair
♠A,♦5,♦7,♥K,♥7 | Pair
♠A,♦5,♦7,♦9,♥7 | Pair
♠A,♦5,♦7,♦T,♥7 | Pair
♠A,♦5,♦7,♦T,♣T | Pair
♠A,♦5,♦7,♥7,♣T | Pair
♠A,♦5,♦A,♥K,♦9 | Pair
♠A,♦5,♦A,♥K,♦T | Pair
♠A,♦5,♦A,♥K,♥7 | Pair
♠A,♦5,♦A,♥K,♣T | Pair
♠A,♦5,♦A,♦9,♦T | Pair
♠A,♦5,♦A,♦9,♥7 | Pair
♠A,♦5,♦A,♦9,♣T | Pair
♠A,♦5,♦A,♦T,♥7 | Pair
♠A,♦5,♦A,♦T,♣T | Two Pairs
♠A,♦5,♦A,♥7,♣T | Pair
♠A,♦5,♥K,♦T,♣T | Pair
♠A,♦5,♦9,♦T,♣T | Pair
♠A,♦5,♦T,♥7,♣T | Pair
♠A,♦7,♦A,♥K,♦9 | Pair
♠A,♦7,♦A,♥K,♦T | Pair
♠A,♦7,♦A,♥K,♥7 | Two Pairs
♠A,♦7,♦A,♥K,♣T | Pair
♠A,♦7,♦A,♦9,♦T | Pair
♠A,♦7,♦A,♦9,♥7 | Two Pairs
♠A,♦7,♦A,♦9,♣T | Pair
♠A,♦7,♦A,♦T,♥7 | Two Pairs
♠A,♦7,♦A,♦T,♣T | Two Pairs
♠A,♦7,♦A,♥7,♣T | Two Pairs
♠A,♦7,♥K,♦9,♥7 | Pair
♠A,♦7,♥K,♦T,♥7 | Pair
♠A,♦7,♥K,♦T,♣T | Pair
♠A,♦7,♥K,♥7,♣T | Pair
♠A,♦7,♦9,♦T,♥7 | Pair
♠A,♦7,♦9,♦T,♣T | Pair
♠A,♦7,♦9,♥7,♣T | Pair
♠A,♦7,♦T,♥7,♣T | Two Pairs
♠A,♦A,♥K,♦9,♦T | Pair
♠A,♦A,♥K,♦9,♥7 | Pair
♠A,♦A,♥K,♦9,♣T | Pair
♠A,♦A,♥K,♦T,♥7 | Pair
♠A,♦A,♥K,♦T,♣T | Two Pairs
♠A,♦A,♥K,♥7,♣T | Pair
♠A,♦A,♦9,♦T,♥7 | Pair
♠A,♦A,♦9,♦T,♣T | Two Pairs
♠A,♦A,♦9,♥7,♣T | Pair
♠A,♦A,♦T,♥7,♣T | Two Pairs
