♠T,♠7,♠8,♣8,♥6 | Pair
♠T,♠7,♠8,♣8,♥4 | Pair
♠T,♠7,♠8,♣8,♦5 | Pair
♠T,♠7,♠8,♣8,♦6 | Pair
♠T,♠7,♠8,♣8,♣5 | Pair
♠T,♠7,♠8,♣8,♦2 | Pair
♠T,♠7,♠8,♥6,♦6 | Pair
♠T,♠7,♠8,♦5,♣5 | Pair
♠T,♠7,♣8,♥6,♦6 | Pair
♠T,♠7,♣8,♦5,♣5 | Pair
♠T,♠7,♥6,♥4,♦6 | Pair
♠T,♠7,♥6,♦5,♦6 | Pair
♠T,♠7,♥6,♦5,♣5 | Pair
♠T,♠7,♥6,♦6,♣5 | Pair
♠T,♠7,♥6,♦6,♦2 | Pair
♠T,♠7,♥4,♦5,♣5 | Pair
♠T,♠7,♦5,♦6,♣5 | Pair
♠T,♠7,♦5,♣5,♦2 | Pair
♠T,♠8,♣8,♥6,♥4 | Pair
♠T,♠8,♣8,♥6,♦5 | Pair
♠T,♠8,♣8,♥6,♦6 | Two Pairs
♠T,♠8,♣8,♥6,♣5 | Pair
♠T,♠8,♣8,♥6,♦2 | Pair
♠T,♠8,♣8,♥4,♦5 | Pair
♠T,♠8,♣8,♥4,♦6 | Pair
♠T,♠8,♣8,♥4,♣5 | Pair
♠T,♠8,♣8,♥4,♦2 | Pair
♠T,♠8,♣8,♦5,♦6 | Pair
♠T,♠8,♣8,♦5,♣5 | Two Pairs
♠T,♠8,♣8,♦5,♦2 | Pair
♠T,♠8,♣8,♦6,♣5 | Pair
♠T,♠8,♣8,♦6,♦2 | Pair
♠T,♠8,♣8,♣5,♦2 | Pair
♠T,♠8,♥6,♥4,♦6 | Pair
♠T,♠8,♥6,♦5,♦6 | Pair
♠T,♠8,♥6,♦5,♣5 | Pair
♠T,♠8,♥6,♦6,♣5 | Pair
♠T,♠8,♥6,♦6,♦2 | Pair
♠T,♠8,♥4,♦5,♣5 | Pair
♠T,♠8,♦5,♦6,♣5 | Pair
♠T,♠8,♦5,♣5,♦2 | Pair
♠T,♣8,♥6,♥4,♦6 | Pair
♠T,♣8,♥6,♦5,♦6 | Pair
♠T,♣8,♥6,♦5,♣5 | Pair
♠T,♣8,♥6,♦6,♣5 | Pair
♠T,♣8,♥6,♦6,♦2 | Pair
♠T,♣8,♥4,♦5,♣5 | Pair
♠T,♣8,♦5,♦6,♣5 | Pair
♠T,♣8,♦5,♣5,♦2 | Pair
♠T,♥6,♥4,♦5,♦6 | Pair
♠T,♥6,♥4,♦5,♣5 | Pair
♠T,♥6,♥4,♦6,♣5 | Pair
♠T,♥6,♥4,♦6,♦2 | Pair
♠T,♥6,♦5,♦6,♣5 | Two Pairs
♠T,♥6,♦5,♦6,♦2 | Pair
♠T,♥6,♦5,♣5,♦2 | Pair
♠T,♥6,♦6,♣5,♦2 | Pair
♠T,♥4,♦5,♦6,♣5 | Pair
