♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥8,♣Q,♠8 | Pair
♠A,♣2,♥8,♣Q,♠Q | Pair
♠A,♣2,♥8,♦K,♥2 | Pair
♠A,♣2,♥8,♦K,♥K | Pair
♠A,♣2,♥8,♦K,♠8 | Pair
♠A,♣2,♥8,♣5,♥2 | Pair
♠A,♣2,♥8,♣5,♠8 | Pair
♠A,♣2,♥8,♥6,♥2 | Pair
♠A,♣2,♥8,♥6,♠8 | Pair
♠A,♣2,♥8,♥T,♥2 | Pair
♠A,♣2,♥8,♥T,♠8 | Pair
♠A,♣2,♥8,♣4,♥2 | Pair
♠A,♣2,♥8,♣4,♠8 | Pair
♠A,♣2,♥8,♣4,♥4 | Pair
♠A,♣2,♥8,♣4,♠4 | Pair
♠A,♣2,♥8,♥2,♥K | Pair
♠A,♣2,♥8,♥2,♠8 | Two Pairs
♠A,♣2,♥8,♥2,♥4 | Pair
♠A,♣2,♥8,♥2,♠Q | Pair
♠A,♣2,♥8,♥2,♠4 | Pair
♠A,♣2,♥8,♥K,♠8 | Pair
♠A,♣2,♥8,♠8,♥4 | Pair
♠A,♣2,♥8,♠8,♠Q | Pair
♠A,♣2,♥8,♠8,♠4 | Pair
♠A,♣2,♥8,♥4,♠4 | Pair
♠A,♣2,♣Q,♦K,♥2 | Pair
♠A,♣2,♣Q,♦K,♥K | Pair
♠A,♣2,♣Q,♦K,♠Q | Pair
♠A,♣2,♣Q,♣5,♥2 | Pair
♠A,♣2,♣Q,♣5,♠Q | Pair
♠A,♣2,♣Q,♥6,♥2 | Pair
♠A,♣2,♣Q,♥6,♠Q | Pair
♠A,♣2,♣Q,♥T,♥2 | Pair
♠A,♣2,♣Q,♥T,♠Q | Pair
♠A,♣2,♣Q,♣4,♥2 | Pair
♠A,♣2,♣Q,♣4,♥4 | Pair
♠A,♣2,♣Q,♣4,♠Q | Pair
♠A,♣2,♣Q,♣4,♠4 | Pair
♠A,♣2,♣Q,♥2,♥K | Pair
♠A,♣2,♣Q,♥2,♠8 | Pair
♠A,♣2,♣Q,♥2,♥4 | Pair
♠A,♣2,♣Q,♥2,♠Q | Two Pairs
♠A,♣2,♣Q,♥2,♠4 | Pair
♠A,♣2,♣Q,♥K,♠Q | Pair
♠A,♣2,♣Q,♠8,♠Q | Pair
♠A,♣2,♣Q,♥4,♠Q | Pair
♠A,♣2,♣Q,♥4,♠4 | Pair
♠A,♣2,♣Q,♠Q,♠4 | Pair
♠A,♣2,♦K,♣5,♥2 | Pair
♠A,♣2,♦K,♣5,♥K | Pair
♠A,♣2,♦K,♥6,♥2 | Pair
♠A,♣2,♦K,♥6,♥K | Pair
♠A,♣2,♦K,♥T,♥2 | Pair
♠A,♣2,♦K,♥T,♥K | Pair
♠A,♣2,♦K,♣4,♥2 | Pair
♠A,♣2,♦K,♣4,♥K | Pair
♠A,♣2,♦K,♣4,♥4 | Pair
♠A,♣2,♦K,♣4,♠4 | Pair
♠A,♣2,♦K,♥2,♥K | Two Pairs
♠A,♣2,♦K,♥2,♠8 | Pair
♠A,♣2,♦K,♥2,♥4 | Pair
♠A,♣2,♦K,♥2,♠Q | Pair
♠A,♣2,♦K,♥2,♠4 | Pair
♠A,♣2,♦K,♥K,♠8 | Pair
♠A,♣2,♦K,♥K,♥4 | Pair
♠A,♣2,♦K,♥K,♠Q | Pair
♠A,♣2,♦K,♥K,♠4 | Pair
♠A,♣2,♦K,♥4,♠4 | Pair
♠A,♣2,♣5,♥6,♥2 | Pair
♠A,♣2,♣5,♥T,♥2 | Pair
♠A,♣2,♣5,♣4,♥2 | Pair
♠A,♣2,♣5,♣4,♥4 | Pair
♠A,♣2,♣5,♣4,♠4 | Pair
♠A,♣2,♣5,♥2,♥K | Pair
♠A,♣2,♣5,♥2,♠8 | Pair
♠A,♣2,♣5,♥2,♥4 | Pair
♠A,♣2,♣5,♥2,♠Q | Pair
♠A,♣2,♣5,♥2,♠4 | Pair
♠A,♣2,♣5,♥4,♠4 | Pair
♠A,♣2,♥6,♥T,♥2 | Pair
♠A,♣2,♥6,♣4,♥2 | Pair
♠A,♣2,♥6,♣4,♥4 | Pair
♠A,♣2,♥6,♣4,♠4 | Pair
♠A,♣2,♥6,♥2,♥K | Pair
♠A,♣2,♥6,♥2,♠8 | Pair
♠A,♣2,♥6,♥2,♥4 | Pair
